 Time Elapsed: 19.0s
 Current Slope: -1.0663462
 Number of Data Points: 37
1: {69.0, 344.0}
2: {47.0, 297.0}
3: {43.0, 303.0}
4: {36.0, 299.0}
5: {34.0, 303.0}
6: {32.0, 298.0}
7: {34.0, 298.0}
8: {31.0, 339.0}
9: {31.0, 343.0}
10: {30.0, 293.0}
11: {29.0, 336.0}
12: {29.0, 335.0}
13: {29.0, 295.0}
14: {34.0, 293.0}
15: {30.0, 293.0}
16: {29.0, 294.0}
17: {29.0, 326.0}
18: {30.0, 316.0}
19: {26.0, 296.0}
20: {25.0, 298.0}
21: {24.0, 304.0}
22: {20.0, 307.0}
23: {24.0, 309.0}
24: {22.0, 308.0}
25: {22.0, 339.0}
26: {21.0, 315.0}
27: {17.0, 319.0}
28: {18.0, 334.0}
29: {16.0, 339.0}
30: {13.0, 333.0}
31: {13.0, 339.0}
32: {12.0, 395.0}
33: {10.0, 340.0}
34: {10.0, 381.0}
35: {10.0, 349.0}
36: {10.0, 351.0}
37: {9.0, 384.0}
