 Time Elapsed: 33.0s
 Current Slope: -5.131384
 Number of Data Points: 65
1: {32.0, 180.0}
2: {31.0, 195.0}
3: {23.0, 186.0}
4: {32.0, 191.0}
5: {31.0, 196.0}
6: {30.0, 203.0}
7: {28.0, 207.0}
8: {27.0, 210.0}
9: {30.0, 212.0}
10: {20.0, 258.0}
11: {29.0, 222.0}
12: {29.0, 254.0}
13: {30.0, 231.0}
14: {27.0, 233.0}
15: {27.0, 235.0}
16: {31.0, 241.0}
17: {30.0, 249.0}
18: {20.0, 288.0}
19: {26.0, 249.0}
20: {28.0, 248.0}
21: {27.0, 250.0}
22: {27.0, 254.0}
23: {25.0, 284.0}
24: {26.0, 298.0}
25: {24.0, 259.0}
26: {26.0, 259.0}
27: {24.0, 262.0}
28: {23.0, 265.0}
29: {17.0, 309.0}
30: {25.0, 290.0}
31: {27.0, 304.0}
32: {24.0, 276.0}
33: {24.0, 278.0}
34: {24.0, 279.0}
35: {25.0, 283.0}
36: {21.0, 281.0}
37: {21.0, 319.0}
38: {20.0, 286.0}
39: {20.0, 284.0}
40: {14.0, 286.0}
41: {19.0, 291.0}
42: {19.0, 290.0}
43: {17.0, 293.0}
44: {18.0, 293.0}
45: {18.0, 294.0}
46: {17.0, 303.0}
47: {17.0, 294.0}
48: {17.0, 297.0}
49: {17.0, 295.0}
50: {16.0, 300.0}
51: {15.0, 301.0}
52: {14.0, 302.0}
53: {13.0, 302.0}
54: {13.0, 304.0}
55: {13.0, 305.0}
56: {12.0, 305.0}
57: {12.0, 310.0}
58: {12.0, 308.0}
59: {12.0, 307.0}
60: {11.0, 310.0}
61: {11.0, 308.0}
62: {11.0, 333.0}
63: {10.0, 360.0}
64: {10.0, 345.0}
65: {9.0, 351.0}
