 Time Elapsed: 34.5s
 Current Slope: -4.4911766
 Number of Data Points: 45
1: {23.0, 394.0}
2: {23.0, 400.0}
3: {20.0, 408.0}
4: {30.0, 412.0}
5: {28.0, 413.0}
6: {28.0, 415.0}
7: {29.0, 414.0}
8: {18.0, 414.0}
9: {30.0, 417.0}
10: {27.0, 417.0}
11: {26.0, 418.0}
12: {27.0, 460.0}
13: {29.0, 420.0}
14: {28.0, 421.0}
15: {24.0, 423.0}
16: {27.0, 433.0}
17: {23.0, 427.0}
18: {27.0, 427.0}
19: {24.0, 425.0}
20: {26.0, 427.0}
21: {23.0, 429.0}
22: {22.0, 431.0}
23: {16.0, 438.0}
24: {23.0, 439.0}
25: {22.0, 464.0}
26: {21.0, 445.0}
27: {20.0, 449.0}
28: {20.0, 450.0}
29: {19.0, 451.0}
30: {18.0, 457.0}
31: {18.0, 459.0}
32: {17.0, 460.0}
33: {16.0, 469.0}
34: {15.0, 473.0}
35: {15.0, 475.0}
36: {15.0, 480.0}
37: {14.0, 484.0}
38: {14.0, 485.0}
39: {13.0, 488.0}
40: {12.0, 489.0}
41: {12.0, 491.0}
42: {11.0, 498.0}
43: {11.0, 501.0}
44: {10.0, 499.0}
45: {9.0, 524.0}
