 Time Elapsed: 41.5s
 Current Slope: -1.4750532
 Number of Data Points: 82
1: {19.0, 500.0}
2: {18.0, 502.0}
3: {18.0, 441.0}
4: {20.0, 504.0}
5: {19.0, 504.0}
6: {22.0, 503.0}
7: {44.0, 442.0}
8: {44.0, 518.0}
9: {39.0, 531.0}
10: {39.0, 513.0}
11: {31.0, 444.0}
12: {42.0, 512.0}
13: {44.0, 511.0}
14: {39.0, 510.0}
15: {40.0, 518.0}
16: {44.0, 515.0}
17: {40.0, 504.0}
18: {46.0, 513.0}
19: {37.0, 516.0}
20: {40.0, 516.0}
21: {34.0, 516.0}
22: {42.0, 507.0}
23: {37.0, 522.0}
24: {36.0, 524.0}
25: {36.0, 523.0}
26: {38.0, 508.0}
27: {41.0, 522.0}
28: {34.0, 524.0}
29: {37.0, 461.0}
30: {31.0, 504.0}
31: {33.0, 524.0}
32: {30.0, 525.0}
33: {32.0, 553.0}
34: {33.0, 528.0}
35: {30.0, 528.0}
36: {25.0, 467.0}
37: {29.0, 470.0}
38: {35.0, 533.0}
39: {29.0, 533.0}
40: {28.0, 557.0}
41: {27.0, 538.0}
42: {28.0, 557.0}
43: {31.0, 466.0}
44: {27.0, 502.0}
45: {28.0, 534.0}
46: {27.0, 537.0}
47: {24.0, 539.0}
48: {20.0, 541.0}
49: {23.0, 543.0}
50: {23.0, 544.0}
51: {23.0, 546.0}
52: {21.0, 545.0}
53: {22.0, 548.0}
54: {20.0, 516.0}
55: {19.0, 550.0}
56: {17.0, 544.0}
57: {16.0, 545.0}
58: {17.0, 557.0}
59: {22.0, 542.0}
60: {21.0, 492.0}
61: {20.0, 551.0}
62: {19.0, 539.0}
63: {20.0, 539.0}
64: {20.0, 541.0}
65: {16.0, 554.0}
66: {19.0, 543.0}
67: {18.0, 543.0}
68: {18.0, 544.0}
69: {17.0, 544.0}
70: {17.0, 549.0}
71: {17.0, 514.0}
72: {16.0, 571.0}
73: {16.0, 572.0}
74: {14.0, 554.0}
75: {15.0, 550.0}
76: {14.0, 579.0}
77: {13.0, 568.0}
78: {12.0, 552.0}
79: {11.0, 561.0}
80: {11.0, 562.0}
81: {11.0, 562.0}
82: {9.0, 564.0}
