 Time Elapsed: 27.0s
 Current Slope: -1.2845628
 Number of Data Points: 53
1: {30.0, 512.0}
2: {30.0, 517.0}
3: {29.0, 472.0}
4: {34.0, 514.0}
5: {29.0, 513.0}
6: {30.0, 512.0}
7: {34.0, 512.0}
8: {22.0, 447.0}
9: {22.0, 518.0}
10: {31.0, 511.0}
11: {18.0, 500.0}
12: {25.0, 503.0}
13: {18.0, 508.0}
14: {15.0, 506.0}
15: {13.0, 510.0}
16: {15.0, 509.0}
17: {13.0, 524.0}
18: {15.0, 511.0}
19: {20.0, 515.0}
20: {25.0, 517.0}
21: {26.0, 463.0}
22: {21.0, 517.0}
23: {25.0, 519.0}
24: {24.0, 521.0}
25: {20.0, 521.0}
26: {23.0, 526.0}
27: {22.0, 549.0}
28: {17.0, 501.0}
29: {22.0, 526.0}
30: {22.0, 529.0}
31: {22.0, 464.0}
32: {22.0, 532.0}
33: {22.0, 534.0}
34: {22.0, 535.0}
35: {22.0, 558.0}
36: {17.0, 539.0}
37: {16.0, 549.0}
38: {17.0, 541.0}
39: {20.0, 563.0}
40: {16.0, 542.0}
41: {17.0, 547.0}
42: {16.0, 541.0}
43: {16.0, 544.0}
44: {16.0, 559.0}
45: {17.0, 484.0}
46: {16.0, 549.0}
47: {15.0, 520.0}
48: {15.0, 552.0}
49: {15.0, 551.0}
50: {13.0, 555.0}
51: {12.0, 508.0}
52: {10.0, 489.0}
53: {9.0, 557.0}
