 Time Elapsed: 25.0s
 Current Slope: -0.0018311292
 Number of Data Points: 36
1: {29.0, 130.0}
2: {28.0, 129.0}
3: {26.0, 131.0}
4: {25.0, 137.0}
5: {26.0, 130.0}
6: {27.0, 130.0}
7: {26.0, 133.0}
8: {21.0, 132.0}
9: {22.0, 130.0}
10: {24.0, 136.0}
11: {17.0, 130.0}
12: {24.0, 130.0}
13: {28.0, 130.0}
14: {28.0, 130.0}
15: {21.0, 130.0}
16: {21.0, 135.0}
17: {18.0, 130.0}
18: {20.0, 132.0}
19: {21.0, 133.0}
20: {20.0, 131.0}
21: {17.0, 130.0}
22: {18.0, 136.0}
23: {15.0, 130.0}
24: {15.0, 130.0}
25: {14.0, 131.0}
26: {19.0, 134.0}
27: {16.0, 130.0}
28: {16.0, 130.0}
29: {12.0, 130.0}
30: {13.0, 130.0}
31: {13.0, 136.0}
32: {12.0, 130.0}
33: {11.0, 137.0}
34: {10.0, 130.0}
35: {11.0, 130.0}
36: {9.0, 130.0}
