 Time Elapsed: 30.5s
 Current Slope: -0.5588453
 Number of Data Points: 61
1: {109.0, 305.0}
2: {20.0, 304.0}
3: {41.0, 353.0}
4: {41.0, 303.0}
5: {40.0, 303.0}
6: {48.0, 303.0}
7: {48.0, 304.0}
8: {51.0, 301.0}
9: {43.0, 303.0}
10: {42.0, 301.0}
11: {40.0, 301.0}
12: {44.0, 299.0}
13: {41.0, 301.0}
14: {44.0, 299.0}
15: {35.0, 301.0}
16: {34.0, 301.0}
17: {35.0, 304.0}
18: {35.0, 298.0}
19: {34.0, 313.0}
20: {35.0, 325.0}
21: {32.0, 299.0}
22: {33.0, 299.0}
23: {32.0, 356.0}
24: {32.0, 299.0}
25: {32.0, 332.0}
26: {23.0, 300.0}
27: {29.0, 347.0}
28: {30.0, 350.0}
29: {32.0, 302.0}
30: {26.0, 302.0}
31: {27.0, 301.0}
32: {25.0, 305.0}
33: {28.0, 307.0}
34: {24.0, 305.0}
35: {24.0, 309.0}
36: {23.0, 311.0}
37: {21.0, 309.0}
38: {20.0, 310.0}
39: {20.0, 313.0}
40: {21.0, 368.0}
41: {19.0, 317.0}
42: {20.0, 317.0}
43: {20.0, 317.0}
44: {18.0, 351.0}
45: {17.0, 322.0}
46: {17.0, 328.0}
47: {14.0, 327.0}
48: {16.0, 328.0}
49: {16.0, 329.0}
50: {15.0, 330.0}
51: {13.0, 328.0}
52: {13.0, 331.0}
53: {13.0, 330.0}
54: {12.0, 340.0}
55: {12.0, 345.0}
56: {11.0, 370.0}
57: {11.0, 333.0}
58: {11.0, 333.0}
59: {11.0, 333.0}
60: {11.0, 333.0}
61: {9.0, 333.0}
