 Time Elapsed: 36.5s
 Current Slope: -1.7595236
 Number of Data Points: 72
1: {35.0, 528.0}
2: {35.0, 505.0}
3: {33.0, 503.0}
4: {33.0, 502.0}
5: {37.0, 519.0}
6: {39.0, 531.0}
7: {39.0, 503.0}
8: {35.0, 459.0}
9: {34.0, 438.0}
10: {36.0, 503.0}
11: {34.0, 506.0}
12: {36.0, 438.0}
13: {44.0, 530.0}
14: {42.0, 507.0}
15: {43.0, 480.0}
16: {52.0, 509.0}
17: {42.0, 507.0}
18: {44.0, 505.0}
19: {37.0, 511.0}
20: {34.0, 511.0}
21: {33.0, 463.0}
22: {24.0, 513.0}
23: {34.0, 513.0}
24: {34.0, 511.0}
25: {29.0, 516.0}
26: {31.0, 516.0}
27: {28.0, 455.0}
28: {28.0, 518.0}
29: {26.0, 520.0}
30: {27.0, 522.0}
31: {28.0, 521.0}
32: {27.0, 546.0}
33: {24.0, 524.0}
34: {24.0, 523.0}
35: {23.0, 526.0}
36: {22.0, 530.0}
37: {20.0, 524.0}
38: {21.0, 461.0}
39: {21.0, 530.0}
40: {19.0, 531.0}
41: {20.0, 534.0}
42: {19.0, 533.0}
43: {20.0, 536.0}
44: {18.0, 469.0}
45: {18.0, 509.0}
46: {19.0, 540.0}
47: {18.0, 538.0}
48: {14.0, 541.0}
49: {16.0, 543.0}
50: {17.0, 543.0}
51: {15.0, 542.0}
52: {16.0, 548.0}
53: {16.0, 546.0}
54: {15.0, 539.0}
55: {15.0, 558.0}
56: {15.0, 557.0}
57: {15.0, 544.0}
58: {14.0, 548.0}
59: {13.0, 547.0}
60: {14.0, 552.0}
61: {14.0, 554.0}
62: {13.0, 556.0}
63: {13.0, 559.0}
64: {13.0, 555.0}
65: {13.0, 557.0}
66: {13.0, 556.0}
67: {11.0, 577.0}
68: {11.0, 555.0}
69: {10.0, 554.0}
70: {10.0, 564.0}
71: {10.0, 566.0}
72: {9.0, 499.0}
