 Time Elapsed: 24.0s
 Current Slope: -4.657352
 Number of Data Points: 34
1: {24.0, 429.0}
2: {30.0, 414.0}
3: {30.0, 416.0}
4: {27.0, 418.0}
5: {29.0, 418.0}
6: {28.0, 420.0}
7: {25.0, 426.0}
8: {27.0, 427.0}
9: {25.0, 452.0}
10: {26.0, 428.0}
11: {23.0, 430.0}
12: {23.0, 433.0}
13: {23.0, 435.0}
14: {23.0, 433.0}
15: {22.0, 439.0}
16: {20.0, 445.0}
17: {21.0, 480.0}
18: {21.0, 480.0}
19: {19.0, 450.0}
20: {16.0, 454.0}
21: {20.0, 499.0}
22: {18.0, 467.0}
23: {16.0, 506.0}
24: {17.0, 511.0}
25: {17.0, 474.0}
26: {13.0, 475.0}
27: {13.0, 479.0}
28: {12.0, 484.0}
29: {13.0, 489.0}
30: {12.0, 488.0}
31: {12.0, 497.0}
32: {10.0, 497.0}
33: {10.0, 539.0}
34: {9.0, 497.0}
