 Time Elapsed: 20.0s
 Current Slope: -0.9860042
 Number of Data Points: 30
1: {17.0, 482.0}
2: {30.0, 456.0}
3: {30.0, 476.0}
4: {30.0, 489.0}
5: {25.0, 480.0}
6: {28.0, 484.0}
7: {20.0, 446.0}
8: {18.0, 475.0}
9: {20.0, 487.0}
10: {25.0, 479.0}
11: {25.0, 494.0}
12: {21.0, 487.0}
13: {20.0, 485.0}
14: {25.0, 492.0}
15: {25.0, 484.0}
16: {26.0, 468.0}
17: {21.0, 489.0}
18: {22.0, 469.0}
19: {17.0, 462.0}
20: {16.0, 497.0}
21: {15.0, 517.0}
22: {15.0, 499.0}
23: {15.0, 503.0}
24: {15.0, 501.0}
25: {13.0, 494.0}
26: {12.0, 457.0}
27: {12.0, 504.0}
28: {10.0, 499.0}
29: {11.0, 485.0}
30: {9.0, 502.0}
