 Time Elapsed: 36.0s
 Current Slope: -2.4060442
 Number of Data Points: 71
1: {24.0, 508.0}
2: {24.0, 531.0}
3: {24.0, 506.0}
4: {34.0, 520.0}
5: {30.0, 510.0}
6: {31.0, 518.0}
7: {34.0, 508.0}
8: {34.0, 509.0}
9: {32.0, 506.0}
10: {34.0, 534.0}
11: {30.0, 529.0}
12: {31.0, 508.0}
13: {32.0, 510.0}
14: {34.0, 511.0}
15: {33.0, 511.0}
16: {30.0, 508.0}
17: {36.0, 513.0}
18: {30.0, 484.0}
19: {30.0, 442.0}
20: {30.0, 512.0}
21: {30.0, 513.0}
22: {29.0, 446.0}
23: {33.0, 515.0}
24: {30.0, 512.0}
25: {29.0, 514.0}
26: {29.0, 512.0}
27: {29.0, 510.0}
28: {29.0, 447.0}
29: {30.0, 513.0}
30: {27.0, 516.0}
31: {27.0, 517.0}
32: {32.0, 517.0}
33: {27.0, 516.0}
34: {27.0, 480.0}
35: {26.0, 521.0}
36: {26.0, 522.0}
37: {25.0, 521.0}
38: {24.0, 520.0}
39: {23.0, 523.0}
40: {24.0, 523.0}
41: {23.0, 530.0}
42: {24.0, 524.0}
43: {17.0, 536.0}
44: {22.0, 537.0}
45: {21.0, 536.0}
46: {20.0, 531.0}
47: {17.0, 537.0}
48: {18.0, 541.0}
49: {19.0, 530.0}
50: {20.0, 540.0}
51: {20.0, 519.0}
52: {19.0, 534.0}
53: {20.0, 537.0}
54: {20.0, 543.0}
55: {18.0, 516.0}
56: {18.0, 548.0}
57: {16.0, 567.0}
58: {17.0, 552.0}
59: {17.0, 552.0}
60: {16.0, 554.0}
61: {15.0, 538.0}
62: {15.0, 567.0}
63: {15.0, 561.0}
64: {14.0, 559.0}
65: {14.0, 562.0}
66: {11.0, 561.0}
67: {11.0, 499.0}
68: {11.0, 537.0}
69: {11.0, 566.0}
70: {10.0, 565.0}
71: {9.0, 570.0}
