 Time Elapsed: 29.5s
 Current Slope: -3.7629418
 Number of Data Points: 58
1: {26.0, 511.0}
2: {34.0, 512.0}
3: {34.0, 510.0}
4: {33.0, 442.0}
5: {30.0, 509.0}
6: {29.0, 490.0}
7: {27.0, 515.0}
8: {32.0, 460.0}
9: {26.0, 513.0}
10: {26.0, 445.0}
11: {27.0, 481.0}
12: {26.0, 503.0}
13: {24.0, 514.0}
14: {23.0, 513.0}
15: {24.0, 518.0}
16: {26.0, 517.0}
17: {23.0, 517.0}
18: {24.0, 509.0}
19: {24.0, 514.0}
20: {23.0, 452.0}
21: {23.0, 518.0}
22: {22.0, 514.0}
23: {22.0, 520.0}
24: {22.0, 537.0}
25: {23.0, 522.0}
26: {23.0, 520.0}
27: {22.0, 526.0}
28: {22.0, 537.0}
29: {22.0, 519.0}
30: {21.0, 460.0}
31: {21.0, 524.0}
32: {21.0, 457.0}
33: {21.0, 519.0}
34: {21.0, 526.0}
35: {22.0, 538.0}
36: {20.0, 549.0}
37: {19.0, 532.0}
38: {19.0, 534.0}
39: {18.0, 541.0}
40: {18.0, 546.0}
41: {17.0, 540.0}
42: {17.0, 540.0}
43: {18.0, 538.0}
44: {17.0, 524.0}
45: {17.0, 564.0}
46: {15.0, 537.0}
47: {14.0, 541.0}
48: {14.0, 530.0}
49: {15.0, 544.0}
50: {14.0, 545.0}
51: {13.0, 555.0}
52: {13.0, 553.0}
53: {12.0, 573.0}
54: {11.0, 563.0}
55: {11.0, 584.0}
56: {10.0, 559.0}
57: {10.0, 562.0}
58: {9.0, 570.0}
