 Time Elapsed: 28.0s
 Current Slope: -3.8732996
 Number of Data Points: 55
1: {32.0, 513.0}
2: {31.0, 507.0}
3: {30.0, 477.0}
4: {29.0, 460.0}
5: {29.0, 506.0}
6: {29.0, 521.0}
7: {30.0, 506.0}
8: {22.0, 508.0}
9: {29.0, 507.0}
10: {25.0, 503.0}
11: {29.0, 504.0}
12: {23.0, 506.0}
13: {25.0, 444.0}
14: {26.0, 508.0}
15: {25.0, 511.0}
16: {24.0, 462.0}
17: {24.0, 510.0}
18: {23.0, 513.0}
19: {20.0, 515.0}
20: {24.0, 518.0}
21: {23.0, 517.0}
22: {22.0, 517.0}
23: {24.0, 519.0}
24: {23.0, 514.0}
25: {23.0, 525.0}
26: {25.0, 522.0}
27: {23.0, 524.0}
28: {24.0, 526.0}
29: {23.0, 481.0}
30: {22.0, 529.0}
31: {21.0, 533.0}
32: {16.0, 530.0}
33: {20.0, 465.0}
34: {17.0, 533.0}
35: {20.0, 535.0}
36: {19.0, 533.0}
37: {17.0, 542.0}
38: {19.0, 541.0}
39: {19.0, 547.0}
40: {18.0, 544.0}
41: {18.0, 545.0}
42: {17.0, 548.0}
43: {17.0, 549.0}
44: {16.0, 550.0}
45: {14.0, 551.0}
46: {15.0, 552.0}
47: {15.0, 561.0}
48: {14.0, 556.0}
49: {13.0, 565.0}
50: {13.0, 561.0}
51: {11.0, 566.0}
52: {10.0, 569.0}
53: {10.0, 570.0}
54: {10.0, 570.0}
55: {9.0, 575.0}
